Regione,Addetti_2019,Localizzazioni_2019,Addetti_2025,Localizzazioni_2025,Var_Addetti,Var_Perc_Addetti,Dim_Media_2019,Dim_Media_2025,Var_Dim_Media,Area
ABRUZZO,376112,154557,414966,154256,38854,10.330433487897222,2.433484086777047,2.690112540192926,0.25662845341587914,Sud
BASILICATA,143677,64920,153750,65071,10073,7.010864647786354,2.2131392483056067,2.3628037067203516,0.14966445841474485,Sud
CALABRIA,353184,189962,391751,191269,38567,10.91980384162363,1.859235004895716,2.048167763725434,0.18893275882971783,Sud
CAMPANIA,1231609,594011,1466236,633708,234627,19.050445392977807,2.0733774290375093,2.313740713388501,0.24036328435099152,Sud
EMILIA ROMAGNA,1682073,497778,1790723,496201,108650,6.4592916003051,3.3791630003736604,3.6088661651226017,0.22970316474894137,Nord
FRIULI-VENEZIA GIULIA,387053,113519,416154,113899,29101,7.518608562651627,3.4095878223028744,3.653710743729093,0.24412292142621883,Nord
LAZIO,1695534,600276,1952349,583536,256815,15.146555598413244,2.8245906882833896,3.345721600723863,0.5211309124404733,Centro
LIGURIA,457589,176492,484015,177982,26426,5.775051410763807,2.5926897536432247,2.7194603948713914,0.12677064122816661,Nord
LOMBARDIA,3749030,1038637,4098357,1061429,349327,9.317796870123738,3.6095671538757044,3.861169235059528,0.25160208118382377,Nord
MARCHE,495726,181276,508902,167952,13176,2.6579198992992095,2.7346477194995478,3.0300442983709632,0.29539657887141546,Centro
MOLISE,70508,37405,75339,36554,4831,6.851704771089806,1.884988637882636,2.061032992285386,0.1760443544027499,Sud
PIEMONTE,1392657,473742,1464060,477974,71403,5.127105956455897,2.939695023873754,3.0630536389008607,0.12335861502710666,Nord
PUGLIA,946748,387831,1067976,400419,121228,12.804674527963089,2.4411354430151277,2.6671461643927987,0.22601072137767098,Sud
SARDEGNA,382938,175153,422290,179548,39352,10.276337161629298,2.1863056870279127,2.351961592443246,0.16565590541533348,Sud
SICILIA,915764,438592,1082495,456939,166731,18.2067650617408,2.0879633007441996,2.3690142447897857,0.28105094404558617,Sud
TOSCANA,1237866,444391,1330291,444017,92425,7.466478601076368,2.785533460398613,2.99603618780362,0.21050272740500686,Centro
TRENTINO - ALTO ADIGE,439113,125124,473481,132375,34368,7.826686980344467,3.5094226527284933,3.576815864022663,0.06739321129416975,Nord
UMBRIA,255050,97996,276242,97961,21192,8.30895902764164,2.6026572513163804,2.8199181306846604,0.21726087936827998,Centro
VALLE D'AOSTA,40380,14651,45071,14975,4691,11.617137196631996,2.756125861715924,3.0097495826377294,0.2536237209218055,Nord
VENETO,1809228,536444,1925180,534753,115952,6.408921374199382,3.372631626041115,3.600129405538632,0.22749777949751682,Nord
